loss,mass,count,frequency
C5H4BrP,173.92339885799998,1,0.002369668246445498
H8O2,40.052429496,1,0.002369668246445498
H3BrN,95.944886196,3,0.0071090047393364926
C3H4O,56.026214748,2,0.004739336492890996
C7H6,90.046950192,1,0.002369668246445498
C5H7N,81.057849224,1,0.002369668246445498
C4HN,63.010899032,1,0.002369668246445498
HBrCl,114.895014812,1,0.002369668246445498
C2H2N2O,70.016712684,1,0.002369668246445498
H3O3P,81.98198058599999,2,0.004739336492890996
C2H2,26.015650064,5,0.012276962070837926
C4HBr,127.926162132,1,0.002369668246445498
CH2O,30.010564684,12,0.02843601895734597
C7H3BrClOP,247.87934112599999,1,0.002369668246445498
C2H7N,45.057849224,2,0.004739336492890996
HCl,35.976677712,4,0.009478672985781991
CH2OS,61.982635684,1,0.002369668246445498
C2H2O,42.010564684,10,0.023696682464454975
C6H6BrN,170.968361292,1,0.002369668246445498
N2O,44.00106262,1,0.002369668246445498
C2H7BrN,123.976186324,1,0.002369668246445498
CHClOS,95.943663332,1,0.002369668246445498
C8H6,102.046950192,1,0.002369668246445498
CH2O2,46.005479304,3,0.0071090047393364926
CH2,14.015650063999999,8,0.018957345971563982
C2H7O4P,126.00819533399999,1,0.002369668246445498
C2H3N,41.026549096,2,0.004739336492890996
C4H4,52.031300128,1,0.002369668246445498
C4H8N2O2,116.058577496,2,0.004739336492890996
C2H3NO,57.021463716,5,0.011848341232227487
C10H9Br,207.988762388,1,0.002369668246445498
C3H9BrN,137.991836388,1,0.002369668246445498
HO3P,79.96633052199999,2,0.004739336492890996
C3H2O,54.010564684,1,0.002369668246445498
CH2BrN,106.937061164,1,0.002369668246445498
CHNO,43.005813652,10,0.023696682464454975
H3N,17.026549096,5,0.01664791858983304
C3H3NO,69.021463716,1,0.002369668246445498
CS,43.972071,2,0.004739336492890996
C2H4O,44.026214748,2,0.004739336492890996
C7H2BrN,178.937061164,1,0.002369668246445498
CHN3,55.017047032,1,0.002369668246445498
C9H7N,129.057849224,1,0.002369668246445498
C7H4Br2O,261.862888948,1,0.002369668246445498
CHN,27.010899031999998,6,0.014218009478672985
C6H6,78.046950192,4,0.009478672985781991
C3H4N2,68.037448128,1,0.002369668246445498
CH3,15.023475096,2,0.004739336492890996
COS,59.96698562,2,0.004739336492890996
CH4O,32.026214748,6,0.014218009478672985
C2H4O2,60.021129368,1,0.002369668246445498
C2O2,55.98982924,1,0.002369668246445498
CH3O,31.018389716,2,0.004739336492890996
C8H8,104.062600256,1,0.002369668246445498
C6H2,74.015650064,1,0.002369668246445498
C2H4,28.031300127999998,5,0.011373981275739593
C7H6Cl,125.015802872,1,0.002369668246445498
C4H4O,68.026214748,1,0.002369668246445498
C2HNO,55.005813652,1,0.002369668246445498
HClN2O,79.977740332,1,0.002369668246445498
CH4,16.031300127999998,7,0.016587677725118485
Br,78.9183371,4,0.009478672985781991
C5H8,68.062600256,1,0.002369668246445498
C2O3,71.98474386,1,0.002369668246445498
H2ClN,50.987576743999995,2,0.004739336492890996
CH2N,28.018724063999997,1,0.002369668246445498
ClOP,81.93752893,1,0.002369668246445498
C10H8O3,176.04734411599998,1,0.002369668246445498
C3H3N3,81.03269709599999,1,0.002369668246445498
H2N2,30.021798064,1,0.002369668246445498
CH3N,29.026549096,5,0.010961465552684945
C7H3N,101.026549096,2,0.004739336492890996
CN2O,56.00106262,2,0.004739336492890996
C6H10O,98.07316494,1,0.002369668246445498
C4HP,79.981586662,1,0.002369668246445498
C9H10BrNO3,258.98440528000003,1,0.002369668246445498
CH5N,31.042199159999996,9,0.02132701421800948
C7H16N2,128.131348512,1,0.002369668246445498
C7H8N2,120.06874825599999,1,0.002369668246445498
C5BrNO,168.91632572,1,0.002369668246445498
CHClO,63.971592332,1,0.002369668246445498
CH2ClNO,78.982491364,1,0.002369668246445498
C3H9N,59.073499287999994,3,0.0071090047393364926
C6BrN,164.9214111,1,0.002369668246445498
BrCl,113.88718978,3,0.0071090047393364926
C2H7BrO4P,204.92653243400002,1,0.002369668246445498
C11H9BrCl2O,305.92138236799997,1,0.002369668246445498
CH3NO,45.021463716,3,0.0071090047393364926
HBr,79.926162132,7,0.016587677725118485
C2H4BrN3,148.958859228,1,0.002369668246445498
C3H6O2,74.036779432,4,0.009478672985781991
C6H6O3,126.03169405199999,1,0.002369668246445498
H2S,33.987721064,5,0.011848341232227487
CCl2,81.93770536,1,0.002369668246445498
H,1.007825032,5,0.010709712806531466
HBrN2,107.932310132,1,0.002369668246445498
C2H2N2,54.021798063999995,1,0.002369668246445498
C3H5N3,83.04834715999999,1,0.002369668246445498
S,31.972071,4,0.009854927724839105
C3H6,42.046950192,5,0.011848341232227487
H2N2O,46.016712684,2,0.004739336492890996
CO,27.99491462,5,0.01138946327158077
H2,2.015650064,8,0.01946174137289113
HO,17.002739652,1,0.002369668246445498
C8H2BrClN2,239.908987844,1,0.002369668246445498
C4H6,54.046950192,1,0.002369668246445498
C3H6O,58.041864812,1,0.002369668246445498
C7H3BrClNO,230.908653496,1,0.002369668246445498
C3O3,83.98474386,1,0.002369668246445498
C6H4N2,104.037448128,1,0.002369668246445498
C3H4,40.031300128,1,0.002369668246445498
H2O,18.010564684,7,0.016980502156059514
CO2,43.98982924,3,0.0071090047393364926
C4H8,56.062600255999996,1,0.002369668246445498
