loss,mass,count,frequency
C5H4BrP,173.92339885799998,1,2.7693159789531985E-4
C2H6,30.046950192,3,8.307947936859596E-4
H8O2,40.052429496,1,2.7693159789531985E-4
C10H10O,146.07316494,1,2.7693159789531985E-4
H14Cl2N3O2,158.046307048,1,2.7693159789531985E-4
C4H10O2,90.06807956,1,2.7693159789531985E-4
C2H5Cl,64.00797784,1,2.7693159789531985E-4
C5H5ClN2,128.01412584,1,2.7693159789531985E-4
C7H6O2S,154.008850432,1,2.7693159789531985E-4
C7H15ClO3S,214.04304302,1,2.7693159789531985E-4
H3BrN,95.944886196,1,2.7693159789531985E-4
CClN,60.971926679999996,6,0.001661589587371919
C6H8O6,176.03208797599999,7,0.001938521185267239
C3H4O5,120.005873228,1,2.7693159789531985E-4
C5H8O4,132.042258736,4,0.0011692203548690884
C3H4O,56.026214748,7,0.001938521185267239
C4H7ClF3NO2,193.011740804,1,2.7693159789531985E-4
C7H15N3O,157.1215121,1,2.7693159789531985E-4
C7H4ClN,137.003226808,1,2.7693159789531985E-4
C3H7N,57.057849223999995,2,5.538631957906397E-4
CHFO,48.001142872,1,2.7693159789531985E-4
C13H14O2,202.099379688,1,2.7693159789531985E-4
C5H7N,81.057849224,2,5.538631957906397E-4
C14H10ClNO,243.04509162,1,2.7693159789531985E-4
C7H5Cl,124.00797784,2,5.538631957906397E-4
C7H3Cl,121.992327776,1,2.7693159789531985E-4
C4HN,63.010899032,1,2.7693159789531985E-4
HNOS,62.977884652,1,2.7693159789531985E-4
C5H6ClN,115.01887687199999,1,2.7693159789531985E-4
CH2ClF,67.982905964,1,2.7693159789531985E-4
C8H9ClN2O2,200.035255208,1,2.7693159789531985E-4
HBrCl,114.895014812,1,2.7693159789531985E-4
C2H2N2O,70.016712684,2,5.538631957906397E-4
C6H9N3O,139.074561908,1,2.7693159789531985E-4
C4H3NO3,113.01129295599999,1,2.7693159789531985E-4
C2H6O,46.041864812,8,0.002215452783162559
H3O3P,81.98198058599999,4,0.0011077263915812794
C5HClO2,127.966506952,1,2.7693159789531985E-4
H7FO,42.048093064,1,2.7693159789531985E-4
C7H7ClN2O3S,233.986590764,1,2.7693159789531985E-4
H6ClN,55.01887687199999,1,2.7693159789531985E-4
C12H6Cl2O2,251.974484792,1,2.7693159789531985E-4
C2H2,26.015650064,16,0.01091510836796808
C3O,51.99491462,2,5.538631957906397E-4
C3H6Cl2,111.98465555199999,1,2.7693159789531985E-4
C7H4,88.031300128,1,2.7693159789531985E-4
Cl,34.96885268,23,0.006369426751592357
C7H9NO,123.068413908,2,5.538631957906397E-4
C3H5NO3,103.02694301999999,1,2.7693159789531985E-4
C5HF,80.006228252,3,8.307947936859596E-4
C4H8N2,84.06874825599999,5,0.0013846579894765993
C6H10,82.07825032,3,8.307947936859596E-4
C3HN,51.010899032,3,8.307947936859596E-4
H2O3,50.000393923999994,1,2.7693159789531985E-4
C5H5NO,95.03711378,1,2.7693159789531985E-4
CH2O,30.010564684,16,0.011347243472414479
C10H9N,143.073499288,1,2.7693159789531985E-4
H7Cl2NO3,138.980298444,1,2.7693159789531985E-4
C19H22ClNO,315.138992004,1,2.7693159789531985E-4
C3H6N2,70.053098192,1,2.7693159789531985E-4
C7H10,94.07825032,2,5.538631957906397E-4
C8H18N2O2,174.136827816,1,2.7693159789531985E-4
C6H8ClN,129.034526936,1,2.7693159789531985E-4
C6H11NOS,145.056134972,1,2.7693159789531985E-4
C11H17Cl,184.101878224,1,2.7693159789531985E-4
C7H6O2,122.036779432,1,2.7693159789531985E-4
C9H7ClN2,178.029775904,2,5.538631957906397E-4
C6H4ClN3O2,184.999204048,1,2.7693159789531985E-4
C2H7N,45.057849224,14,0.003877042370534478
HCl,35.976677712,23,0.012034639256607645
CH2OS,61.982635684,2,5.538631957906397E-4
C7H3BrClOP,247.87934112599999,1,2.7693159789531985E-4
N2O,44.00106262,2,5.538631957906397E-4
C6H5FO,112.032443,1,2.7693159789531985E-4
C5ClN,108.97192668,1,2.7693159789531985E-4
C2H2O,42.010564684,19,0.012179822114580015
C3H5N,55.042199159999996,6,0.001661589587371919
C6H9ClN2O,160.040340588,1,2.7693159789531985E-4
C6H9N5O2,183.075624528,1,2.7693159789531985E-4
C7H5ClN2,152.01412584,1,2.7693159789531985E-4
