loss,mass,count,frequency
H2O2,34.005479304,2,5.813953488372093E-4
C2H6,30.046950192,2,5.813953488372093E-4
C4H6O2S,118.008850432,1,2.9069767441860465E-4
C10H10O,146.07316494,1,2.9069767441860465E-4
O3S,79.95681486,1,2.9069767441860465E-4
C4H10O2,90.06807956,2,5.813953488372093E-4
C5H5ClN2,128.01412584,1,2.9069767441860465E-4
C3H4O5,120.005873228,1,2.9069767441860465E-4
C6H8O6,176.03208797599999,1,5.9757342371033E-4
C14H14,182.109550448,2,5.813953488372093E-4
C5H8O4,132.042258736,5,0.001321040246753913
C3H4O,56.026214748,5,0.0014534883720930232
C4H7ClF3NO2,193.011740804,1,2.9069767441860465E-4
C14H16,184.125200512,2,5.813953488372093E-4
C3H7N,57.057849223999995,1,2.9069767441860465E-4
C11H11FO2,194.074307812,1,2.9069767441860465E-4
CHFO,48.001142872,1,2.9069767441860465E-4
C10O2,151.98982924,1,2.9069767441860465E-4
CH2ClF,67.982905964,1,2.9069767441860465E-4
C6H8O2,112.052429496,1,2.9069767441860465E-4
CH4F2N2,82.034254568,1,2.9069767441860465E-4
C8H9ClN2O2,200.035255208,1,2.9069767441860465E-4
H3N3,45.032697096,1,2.9069767441860465E-4
C2H6O,46.041864812,6,0.0017441860465116279
H7FO,42.048093064,1,2.9069767441860465E-4
C2H2,26.015650064,11,0.01223219621470203
C3O,51.99491462,1,2.9069767441860465E-4
C5H11N3,113.09529735199999,1,2.9069767441860465E-4
C6HNS,118.982970032,1,2.9069767441860465E-4
C14H6FS,225.017424412,1,2.9069767441860465E-4
C5HF,80.006228252,4,0.0011627906976744186
Cl,34.96885268,2,5.813953488372093E-4
C12H13FN2O,220.101191256,1,2.9069767441860465E-4
H2O3,50.000393923999994,1,2.9069767441860465E-4
CH2O,30.010564684,11,0.012424429316250913
C8H6F3N3O,217.046296472,1,2.9069767441860465E-4
C7H2F3N,157.013933724,1,2.9069767441860465E-4
C7H6O2,122.036779432,1,2.9069767441860465E-4
C2H7N,45.057849224,4,0.0011627906976744186
HCl,35.976677712,10,0.0029069767441860465
C6H12O2,116.083729624,1,2.9069767441860465E-4
C3HF,56.006228252,1,2.9069767441860465E-4
C6H5FO,112.032443,1,2.9069767441860465E-4
