loss,mass,count,frequency
C5H8O4,132.042258736,1,0.006369426751592357
C2H2,26.015650064,1,0.006369426751592357
C2H6O,46.041864812,1,0.006369426751592357
CH2O,30.010564684,5,0.03184713375796178
C5H5NO,95.03711378,2,0.012738853503184714
C2H2O,42.010564684,1,0.007393726091630073
C3H5N,55.042199159999996,1,0.006369426751592357
CH2O2,46.005479304,8,0.050955414012738856
C2H7NO,61.052763844,1,0.006369426751592357
C2H6O4,94.026608672,1,0.006369426751592357
CHNO,43.005813652,3,0.01910828025477707
H3N,17.026549096,4,0.025477707006369428
CHN,27.010899031999998,2,0.012738853503184714
CH3,15.023475096,1,0.006369426751592357
C2H4O2,60.021129368,3,0.01910828025477707
I,126.904473,0,0.0013321794995569444
C2O2,55.98982924,2,0.012738853503184714
C2H4,28.031300127999998,1,0.006369426751592357
CH4O3,64.01604398799999,1,0.006369426751592357
C2H4O3,76.01604398799999,1,0.006369426751592357
CH4,16.031300127999998,2,0.012738853503184714
C6H7N,93.057849224,1,0.006369426751592357
C4H6IN,194.954497192,1,0.006369426751592357
I2,253.808946,1,0.006369426751592357
C2HIO,167.907212652,1,0.006369426751592357
C6H11NO4,161.068807832,1,0.006369426751592357
CH3N,29.026549096,1,0.006369426751592357
CH5N,31.042199159999996,4,0.025477707006369428
HN,15.010899032,1,0.006369426751592357
C3H6O2,74.036779432,2,0.012738853503184714
C6H5I,203.94359816,1,0.006369426751592357
C3H7NO,73.052763844,3,0.01910828025477707
H,1.007825032,8,0.050955414012738856
HI,127.912298032,4,0.025477707006369428
C3H6,42.046950192,1,0.006369426751592357
C7H11IN2,249.996696352,1,0.006369426751592357
H2,2.015650064,8,0.050955414012738856
CO,27.99491462,2,0.011388706571226932
HO,17.002739652,1,0.006369426751592357
C8INO3,284.89229086,1,0.006369426751592357
C4H9NO,87.068413908,3,0.01910828025477707
H2O,18.010564684,3,0.01615012231059115
CO2,43.98982924,2,0.012738853503184714
