loss,mass,count,frequency
C5H4BrP,173.92339885799998,1,0.0016025641025641025
C9HO2P,171.971415902,1,0.0016025641025641025
H8O2,40.052429496,1,0.0016025641025641025
C8H7N3O,161.058911844,1,0.0016025641025641025
C2H7O2PS2,157.962508094,2,0.003205128205128205
C2S,55.972071,1,0.0016025641025641025
C5H8O4,132.042258736,1,0.0016025641025641025
C2H5NO2,75.0320284,1,0.0016025641025641025
C2H6OS,78.013935812,1,0.0016025641025641025
C2H2OS,73.982635684,1,0.0016025641025641025
CH3O2P,77.98706596599999,1,0.0016025641025641025
HBrCl,114.895014812,1,0.0016025641025641025
H3N3,45.032697096,1,0.0016025641025641025
H3O3P,81.98198058599999,7,0.011217948717948718
C2H6O,46.041864812,3,0.004807692307692308
H3PS2,97.941378726,1,0.0016025641025641025
C2H2,26.015650064,9,0.013926603715885666
C3H2OS,85.982635684,1,0.0016025641025641025
C7H4,88.031300128,1,0.0016025641025641025
C3H9O2P,108.034016158,1,0.0016025641025641025
CH2O,30.010564684,8,0.012771405264961717
C2H7N,45.057849224,2,0.003205128205128205
C7H6O2,122.036779432,1,0.0016025641025641025
C7H3BrClOP,247.87934112599999,1,0.0016025641025641025
HCl,35.976677712,3,0.004807692307692308
CH2OS,61.982635684,1,0.0016025641025641025
C3H8OS2,124.001656876,1,0.0016025641025641025
C2H2O,42.010564684,10,0.016025641025641024
C2H7O3P,110.01328071399999,1,0.0016025641025641025
C2H5O3PS,139.96970165,1,0.0016025641025641025
C6H11N2O6P,238.035472702,1,0.0016025641025641025
CHClOS,95.943663332,1,0.0016025641025641025
HNO2S,78.972799272,1,0.0016025641025641025
CH4N2O,60.032362748,1,0.0016025641025641025
H3O4P,97.976895206,2,0.0027984946037008652
C7H6OS,138.013935812,1,0.0016025641025641025
CH5P,48.012886789999996,1,0.0016025641025641025
C2H7O4PS2,189.952337334,1,0.0016025641025641025
C7H7O4P,186.008195334,1,0.0016025641025641025
CH2O2,46.005479304,13,0.020833333333333332
CH2,14.015650063999999,7,0.011217948717948718
C4H6O,70.041864812,1,0.0016025641025641025
