loss,mass,count,frequency
C5H4BrP,173.92339885799998,1,2.1213406873143826E-4
C9HO2P,171.971415902,1,2.1213406873143826E-4
H2O2,34.005479304,1,2.1213406873143826E-4
C2H6,30.046950192,4,8.485362749257531E-4
C9H9NOS,179.040484908,1,2.1213406873143826E-4
C9H15N3,165.12659748,2,4.2426813746287653E-4
C4H6O2S,118.008850432,1,2.1213406873143826E-4
C8H7N3O,161.058911844,1,2.1213406873143826E-4
H8O2,40.052429496,1,2.1213406873143826E-4
C2H4N4S,116.01566712799999,1,2.1213406873143826E-4
C10H10O,146.07316494,1,2.1213406873143826E-4
O3S,79.95681486,11,0.002333474756045821
C2H7O2PS2,157.962508094,2,4.2426813746287653E-4
C7H6O2S,154.008850432,1,2.1213406873143826E-4
C3H5N3OS,131.01533278,1,2.1213406873143826E-4
HNS,46.982970032,1,2.1213406873143826E-4
C7H15ClO3S,214.04304302,1,2.1213406873143826E-4
H3BrN,95.944886196,1,2.1213406873143826E-4
C4H10N4O3,162.07529017999997,1,2.1213406873143826E-4
C2S,55.972071,4,8.485362749257531E-4
C7H15NOS,161.0874351,1,2.1213406873143826E-4
CClN,60.971926679999996,2,4.2426813746287653E-4
C9H9NO5S,243.02014338799998,1,2.1213406873143826E-4
C6H8O6,176.03208797599999,1,2.1213406873143826E-4
C10H18N2O3S,246.10381343599997,1,2.1213406873143826E-4
C9H5NO,143.03711378,1,2.1213406873143826E-4
C5H8O4,132.042258736,11,0.002333474756045821
C4H9N,71.073499288,1,2.1213406873143826E-4
C3H4O,56.026214748,8,0.0016970725498515061
C18H19NOS2,329.09080622799996,1,2.1213406873143826E-4
C2H6OS,78.013935812,4,8.485362749257531E-4
C6H12,84.093900384,2,4.2426813746287653E-4
C2H2OS,73.982635684,5,0.0010606703436571913
C3H7N,57.057849223999995,4,8.485362749257531E-4
C6H5NOS,139.00918478,1,2.1213406873143826E-4
C2H7NO3S,125.014664084,1,2.1213406873143826E-4
C6H11NS,129.061220352,1,2.1213406873143826E-4
C7H6,90.046950192,1,2.1213406873143826E-4
C5H7N,81.057849224,3,6.364022061943148E-4
CH2S,45.987721064,1,2.1213406873143826E-4
C2H9N3OS,123.04663290799999,1,2.1213406873143826E-4
HNOS,62.977884652,2,4.2426813746287653E-4
C4HN,63.010899032,4,8.485362749257531E-4
CH3O2P,77.98706596599999,1,2.1213406873143826E-4
C6H8O2,112.052429496,1,2.1213406873143826E-4
C6H7N3O,137.058911844,1,2.1213406873143826E-4
C2H2O2S,89.977550304,3,6.364022061943148E-4
C7H9NS,139.045570288,1,2.1213406873143826E-4
C7H10S,126.05032132,1,2.1213406873143826E-4
H3N3,45.032697096,1,2.1213406873143826E-4
C10H8NO3S,222.022489116,1,2.1213406873143826E-4
HBrCl,114.895014812,1,2.1213406873143826E-4
C2H2N2O,70.016712684,1,2.1213406873143826E-4
C6H3N3S2,180.976839096,1,2.1213406873143826E-4
C7H6O4S,185.998679672,1,2.1213406873143826E-4
C2H6O2S,94.008850432,1,2.1213406873143826E-4
C4N2OS2,155.94520462,1,2.1213406873143826E-4
C4H3NO3,113.01129295599999,1,2.1213406873143826E-4
C2H6O,46.041864812,12,0.002545608824777259
H3PS2,97.941378726,1,2.1213406873143826E-4
H3O3P,81.98198058599999,6,0.0012728044123886295
C5HClO2,127.966506952,1,2.1213406873143826E-4
