"formula","mass","h2c","hy2c","xh2c","h2o","rdbe"
"C4H3","51.023475096","0.0","0.75","0.0","5.0","3.5"
"C5H3O","79.018389716","0.2","0.6","0.0","5.0","4.5"
"C6H3O2","107.013304336","0.33333334","0.5","0.0","3.0","5.5"
"C4H2","50.015650064","0.0","0.5","0.0","5.0","4.0"
"C5H6","66.046950192","0.0","1.2","0.0","6.25","3.0"
"C6H6O","94.041864812","0.16666667","1.0","0.0","6.0","4.0"
"C6H4","76.031300128","0.0","0.6666667","0.0","7.5","5.0"
"C7H6O2","122.036779432","0.2857143","0.85714287","0.0","3.5","5.0"
"C7H4O","104.026214748","0.14285715","0.5714286","0.0","7.0","6.0"
"C5H4","64.031300128","0.0","0.8","0.0","6.25","4.0"
"C8H6O3","150.03169405199998","0.375","0.75","0.0","2.6666667","6.0"
"C14H8","176.062600256","0.0","0.5714286","0.0","17.5","11.0"
"C14H10O","194.07316494","0.071428575","0.71428573","0.0","14.0","10.0"
"C12H8O2","184.052429496","0.16666667","0.6666667","0.0","6.0","9.0"
"C13H10","166.07825032","0.0","0.7692308","0.0","16.25","9.0"
"C12H8","152.062600256","0.0","0.6666667","0.0","15.0","9.0"
"C14H12O2","212.083729624","0.14285715","0.85714287","0.0","7.0","9.0"
"C13H8","164.062600256","0.0","0.61538464","0.0","16.25","10.0"
"C7H6","90.046950192","0.0","0.85714287","0.0","8.75","5.0"
"C9H8","116.062600256","0.0","0.8888889","0.0","11.25","6.0"
"C10H8O2","160.052429496","0.2","0.8","0.0","5.0","7.0"
"C16H14O2","238.099379688","0.125","0.875","0.0","8.0","10.0"
"C13H8O","180.057514876","0.07692308","0.61538464","0.0","13.0","10.0"
"C14H10O2","210.06807956","0.14285715","0.71428573","0.0","7.0","10.0"
"C17H19NO2","269.141578848","0.1764706","1.117647","0.05882353","9.0","9.0"
"C8H6","102.046950192","0.0","0.75","0.0","10.0","6.0"
"C9H8O2","148.052429496","0.22222222","0.8888889","0.0","4.5","6.0"
"C10H8","128.062600256","0.0","0.8","0.0","12.5","7.0"
"C9H6","114.046950192","0.0","0.6666667","0.0","11.25","7.0"
"C11H10O2","174.06807956","0.18181819","0.90909094","0.0","5.5","7.0"
"C11H8O2","172.052429496","0.18181819","0.72727275","0.0","5.5","8.0"
"C11H10O","158.07316494","0.09090909","0.90909094","0.0","11.0","7.0"
"C12H10","154.07825032","0.0","0.8333333","0.0","15.0","8.0"
"C11H8","140.062600256","0.0","0.72727275","0.0","13.75","8.0"
"C10H6","126.046950192","0.0","0.6","0.0","12.5","8.0"
"C7H6O2","122.036779432","0.2857143","0.85714287","0.0","3.5","5.0"
"C13H12O2","200.083729624","0.15384616","0.9230769","0.0","6.5","8.0"
"C11H8O","156.057514876","0.09090909","0.72727275","0.0","11.0","8.0"
"C14H14O3","230.09429430799997","0.21428572","1.0","0.0","4.6666665","8.0"
"C10H7O","143.049689844","0.1","0.7","0.0","10.0","7.5"
"C11H7O2","171.044604464","0.18181819","0.6363636","0.0","5.5","8.5"
"C12H9O","169.065339908","0.083333336","0.75","0.0","12.0","8.5"
"C13H9O2","197.060254528","0.15384616","0.6923077","0.0","6.5","9.5"
