loss,mass,count,frequency
C5HO2P,123.971415902,1,2.6090586516384887E-5
C5H4BrP,173.92339885799998,1,2.6090586516384887E-5
C6H10ClN3,159.056325,1,2.6090586516384887E-5
C4H6O2S,118.008850432,1,2.6090586516384887E-5
C8H19O5,195.123248708,1,2.6090586516384887E-5
C9H15N3,165.12659748,2,5.2181173032769774E-5
H2O2,34.005479304,7,1.8263410561469422E-4
C9H14,122.109550448,1,2.6090586516384887E-5
C9H9NOS,179.040484908,1,2.6090586516384887E-5
C2H6,30.046950192,101,0.0026351492381548737
C7H18O,118.135765196,1,2.6090586516384887E-5
C5H5ClOS,147.97496346,1,2.6090586516384887E-5
CN,26.003073999999998,3,7.827175954915466E-5
N4,56.012296,3,7.827175954915466E-5
C9H4,112.031300128,3,7.827175954915466E-5
H8O2,40.052429496,1,2.6090586516384887E-5
C5H4O3,112.01604398799999,1,2.6090586516384887E-5
C15H12O4,256.073558864,1,2.6090586516384887E-5
C2H4N4S,116.01566712799999,1,2.6090586516384887E-5
C16H7N,213.057849224,1,2.6090586516384887E-5
C10H10O,146.07316494,7,1.8263410561469422E-4
H14Cl2N3O2,158.046307048,1,2.6090586516384887E-5
C11H17NO3,211.12084340399997,1,2.6090586516384887E-5
C5H13NOS,135.071785036,1,2.6090586516384887E-5
C2H7ClN,80.02670190399999,3,7.827175954915466E-5
O3S,79.95681486,11,2.8699645168023377E-4
C3O4,99.97965848,1,2.6090586516384887E-5
C4H10O2,90.06807956,1,2.6090586516384887E-5
C17H20,224.15650064,3,7.827175954915466E-5
C2H7O2PS2,157.962508094,1,2.6090586516384887E-5
C3H2F2,76.012456504,1,2.6090586516384887E-5
C4H8N2S,116.04081925599999,1,2.6090586516384887E-5
C5H5ClN2,128.01412584,1,2.6090586516384887E-5
C2H5Cl,64.00797784,2,5.2181173032769774E-5
C7H6O2S,154.008850432,1,2.6090586516384887E-5
C3H5N3OS,131.01533278,1,2.6090586516384887E-5
CH2N4,70.02794606399999,1,2.6090586516384887E-5
HNS,46.982970032,1,2.6090586516384887E-5
C10H13N5,203.11709541599998,1,2.6090586516384887E-5
H6Cl2N,89.98772955199999,1,2.6090586516384887E-5
H3BrN,95.944886196,2,5.2181173032769774E-5
C7H15ClO3S,214.04304302,1,2.6090586516384887E-5
C2S,55.972071,4,1.0436234606553955E-4
C2H5NO5,123.01677226,1,2.6090586516384887E-5
C9H2N2O3,186.00654192399998,1,2.6090586516384887E-5
CClN,60.971926679999996,7,1.8263410561469422E-4
C7H15NOS,161.0874351,1,2.6090586516384887E-5
C4H6O4,118.026608672,2,5.2181173032769774E-5
F2,37.99680644,3,7.827175954915466E-5
C2N4,80.01229599999999,1,2.6090586516384887E-5
C16H14O,222.104465068,1,2.6090586516384887E-5
C6H8O6,176.03208797599999,10,5.918652566924171E-4
C13H10O,182.07316494,1,2.6090586516384887E-5
C5H2ClN,110.987576744,1,2.6090586516384887E-5
C2H3N3O,85.027611716,1,2.6090586516384887E-5
C10H18N2O3S,246.10381343599997,1,2.6090586516384887E-5
C5H8O4,132.042258736,23,0.0013542151598153862
C9H5NO,143.03711378,3,7.827175954915466E-5
C3H4O,56.026214748,59,0.0015393446044667085
C9H12O3,168.07864424399997,1,2.6090586516384887E-5
CH6N6,102.065394192,1,2.6090586516384887E-5
C5H3NO,93.021463716,1,2.6090586516384887E-5
C2H,25.007825032,2,5.2181173032769774E-5
C14H14,182.109550448,3,7.827175954915466E-5
H7N,21.057849224,1,2.6090586516384887E-5
