"formula","mass","h2c","hy2c","xh2c","h2o","rdbe"
"CH6NOP","79.018700442","3.0","6.0","2.0","3.0","0.0"
"C2H6NO2P","107.013615062","2.0","3.0","1.0","2.0","1.0"
"C2H9NOP","94.042175538","1.5","4.5","1.0","4.0","-0.5"
"C2H7NOP","92.026525474","1.5","3.5","1.0","4.0","0.5"
"H5NP","50.015960789999994","2.5","6.25","2.5","2.5","-0.5"
"C2H7NP","76.03161085400001","1.0","3.5","1.0","5.0","0.5"
"C3H9NO2P","122.037090158","1.3333334","3.0","0.6666667","2.5","0.5"
"C3H7NOP","104.026525474","1.0","2.3333333","0.6666667","5.0","1.5"
"CH7NP","64.03161085400001","2.0","7.0","2.0","3.75","-0.5"
"C4H9NO3P","150.032004778","1.25","2.25","0.5","2.0","1.5"
"C9H7FN3","176.062400444","0.44444445","0.7777778","0.44444445","16.25","7.5"
"C9H9FN3O","194.072965128","0.5555556","1.0","0.44444445","13.0","6.5"
"C9H5FN","146.04060238","0.22222222","0.5555556","0.22222222","13.75","7.5"
"C11H11FN3O","220.088615192","0.45454547","1.0","0.36363637","15.0","7.5"
"C7H7FN3O2","184.052229684","0.85714287","1.0","0.5714286","5.5","5.5"
"C8H8FN3","165.070225476","0.5","1.0","0.5","15.0","6.0"
"C8H9FN3","166.078050508","0.5","1.125","0.5","15.0","5.5"
"C7H6FN3","151.054575412","0.5714286","0.85714287","0.5714286","13.75","6.0"
"C7H7FN3","152.062400444","0.5714286","1.0","0.5714286","13.75","5.5"
"C9H11FN3O2","212.083529812","0.6666667","1.2222222","0.44444445","6.5","5.5"
"C8H7FN3","164.062400444","0.5","0.875","0.5","15.0","6.5"
"C2H5FN3","90.04675037999999","2.0","2.5","2.0","7.5","1.5"
"C4H7FN3","116.06240044399999","1.0","1.75","1.0","10.0","2.5"
"C5H7FN3O2","160.052229684","1.2","1.4","0.8","4.5","3.5"
"C11H13FN3O2","238.099179876","0.54545456","1.1818181","0.36363637","7.5","6.5"
"C9H9FN3O2","210.067879748","0.6666667","1.0","0.44444445","6.5","6.5"
"C12H18FN4O2","269.141379036","0.5833333","1.5","0.41666666","8.5","5.5"
"C3H5FN3","102.04675037999999","1.3333334","1.6666666","1.3333334","8.75","2.5"
"C4H7FN3O2","148.052229684","1.5","1.75","1.0","4.0","2.5"
"C5H7FN3","128.062400444","0.8","1.4","0.8","11.25","3.5"
"C4H5FN3","114.04675037999999","1.0","1.25","1.0","10.0","3.5"
"C6H9FN3O2","174.067879748","1.0","1.5","0.6666667","5.0","3.5"
"C6H7FN3O2","172.052229684","1.0","1.1666666","0.6666667","5.0","4.5"
"C6H9FN3O","158.072965128","0.8333333","1.5","0.6666667","10.0","3.5"
"C7H9FN3","154.078050508","0.5714286","1.2857143","0.5714286","13.75","4.5"
"C6H7FN3","140.062400444","0.6666667","1.1666666","0.6666667","12.5","4.5"
"C5H5FN3","126.04675037999999","0.8","1.0","0.8","11.25","4.5"
"C2H5FN3O2","122.03657962","3.0","2.5","2.0","3.0","1.5"
"C8H11FN3O2","200.083529812","0.75","1.375","0.5","6.0","4.5"
"C6H7FN3O","156.057315064","0.8333333","1.1666666","0.6666667","10.0","4.5"
"C9H13FN3O3","230.09409449599997","0.7777778","1.4444444","0.44444445","4.3333335","4.5"
"C5H6FN3O","143.049490032","1.0","1.2","0.8","9.0","4.0"
"C6H6FN3O2","171.044404652","1.0","1.0","0.6666667","5.0","5.0"
"C7H8FN3O","169.065140096","0.71428573","1.1428572","0.5714286","11.0","5.0"
"C8H8FN3O2","197.060054716","0.75","1.0","0.5","6.0","6.0"
"C8H9FN3O2","198.067879748","0.75","1.125","0.5","6.0","5.5"
"C5H7FN3O","144.057315064","1.0","1.4","0.8","9.0","3.5"
"C7H9FN3O2","186.067879748","0.85714287","1.2857143","0.5714286","5.5","4.5"
"C8H9FN3O","182.072965128","0.625","1.125","0.5","12.0","5.5"
"C7H7FN3O","168.057315064","0.71428573","1.0","0.5714286","11.0","5.5"
"C9H11FN3O3","228.07844443199997","0.7777778","1.2222222","0.44444445","4.3333335","5.5"
"C8H14F2N3O3","238.100322748","1.0","1.75","0.625","4.3333335","2.5"
"C9H7FN3","176.062400444","0.44444445","0.7777778","0.44444445","16.25","7.5"
"C8H7FN3","164.062400444","0.5","0.875","0.5","15.0","6.5"
"C9H5FN","146.04060238","0.22222222","0.5555556","0.22222222","13.75","7.5"
"C9H9FN3O","194.072965128","0.5555556","1.0","0.44444445","13.0","6.5"
"C2H5FN3","90.04675037999999","2.0","2.5","2.0","7.5","1.5"
"C4H7FN3","116.06240044399999","1.0","1.75","1.0","10.0","2.5"
"C5H7FN3O2","160.052229684","1.2","1.4","0.8","4.5","3.5"
"C5H7FN3O","144.057315064","1.0","1.4","0.8","9.0","3.5"
"C7H9FN3O2","186.067879748","0.85714287","1.2857143","0.5714286","5.5","4.5"
"C8H9FN3O","182.072965128","0.625","1.125","0.5","12.0","5.5"
"C8H8FN3","165.070225476","0.5","1.0","0.5","15.0","6.0"
"C8H9FN3","166.078050508","0.5","1.125","0.5","15.0","5.5"
"C7H6FN3","151.054575412","0.5714286","0.85714287","0.5714286","13.75","6.0"
"C7H7FN3","152.062400444","0.5714286","1.0","0.5714286","13.75","5.5"
"C9H11FN3O2","212.083529812","0.6666667","1.2222222","0.44444445","6.5","5.5"
"C5H6FN3O","143.049490032","1.0","1.2","0.8","9.0","4.0"
"C6H6FN3O2","171.044404652","1.0","1.0","0.6666667","5.0","5.0"
"C7H8FN3O","169.065140096","0.71428573","1.1428572","0.5714286","11.0","5.0"
"C8H8FN3O2","197.060054716","0.75","1.0","0.5","6.0","6.0"
"C8H9FN3O2","198.067879748","0.75","1.125","0.5","6.0","5.5"
"C3H5FN3","102.04675037999999","1.3333334","1.6666666","1.3333334","8.75","2.5"
"C4H7FN3O2","148.052229684","1.5","1.75","1.0","4.0","2.5"
"C4H5FN3","114.04675037999999","1.0","1.25","1.0","10.0","3.5"
"C5H7FN3","128.062400444","0.8","1.4","0.8","11.25","3.5"
"C6H9FN3O2","174.067879748","1.0","1.5","0.6666667","5.0","3.5"
"C6H7FN3O2","172.052229684","1.0","1.1666666","0.6666667","5.0","4.5"
"C6H9FN3O","158.072965128","0.8333333","1.5","0.6666667","10.0","3.5"
"C7H9FN3","154.078050508","0.5714286","1.2857143","0.5714286","13.75","4.5"
"C6H7FN3","140.062400444","0.6666667","1.1666666","0.6666667","12.5","4.5"
"C5H5FN3","126.04675037999999","0.8","1.0","0.8","11.25","4.5"
"C2H5FN3O2","122.03657962","3.0","2.5","2.0","3.0","1.5"
"C8H11FN3O2","200.083529812","0.75","1.375","0.5","6.0","4.5"
"C6H7FN3O","156.057315064","0.8333333","1.1666666","0.6666667","10.0","4.5"
