*!@-c1[n;X2]c(!@-*)n(-*)c1!@-*	#1,2,4,5-tetrasubstituted-imidazole
[H]c1c(!@-*)nc(!@-*)n1-*	#1,2,4-trisubstituted-imidazole
[H]!@-c1nc(!@-*)n(-*)c1!@-*	#1,2,5-trisubstituted-imidazole
[H][#8;R0][C;R0]([H])([H])[C;R0]([H])([#8;R0]-[#6]([#6,#1;A])=[O;R0])[C;R0]([H])([H])[#8;R0]-[#6;R0]([#6,#1;A])=[O;R0]	#1,2-acyl-sn-glycerol
[H][#8;X2][C;X4]([*,#1;#1,CX4,$([cX3](:*):*),$([cX2+](:*):*)])([*,#1;#1,CX4,$([cX3](:*):*),$([cX2+](:*):*)])[C;X4]([#7;A;X3+0,X4+;!$([N]~[!#6]);!$([N]*~[#7,#8,#15,#16])])([*,#1;#1,CX4,$([cX3](:*):*),$([cX2+](:*):*)])[*,#1;#1,CX4,$([cX3](:*):*),$([cX2+](:*):*)]	#1,2-aminoalcohol
[H][#8]C([*,#1;C,#1,c])([*,#1;C,#1,c])C([*,#1;C,#1,c])([*,#1;C,#1,c])[#8][H]	#1,2-diol
[H][c;R1]1[c;R1]([H])[c;R1]([H])[c;R1](-*)[c;R1](-*)[c;R1]1[H]	#1,2-disubstituted-benzene
[#6]=,:1[#7]=,:[#6][#7]=,:[#6][#7]=,:1	#1,3,5-Triazine-1
[#6]~1~[#7]~[#6]~[#7]=,:[#6]~[#7]~1	#1,3,5-Triazine
[H][#8][C;R0]([H])([C;R0]([H])([H])[#8]-[*])[C;R0]([H])([H])[#8]-[*]	#1,3-dialkyl-sn-glycerol_2
Cl[c;R1]1[c;R1](-[*,#1;!$([Cl])])[c;R1](Cl)[c;R1](-[*,#1;!$([Cl])])[c;R1](-[*,#1;!$([Cl])])[c;R1]1-[*,#1;!$([Cl])]	#1,3-dichlorobenzene
[H][c;R1]1[c;R1]([H])[c;R1](-*)[c;R1]([H])[c;R1](-*)[c;R1]1[H]	#1,3-disubstituted-benzene
[#6]-1-[#6]-[#16]-[#6]-[#7]-1	#1,3-thiazolidine
[#6]~1~[#6]~[#16]~c2ccccc2~[#7]~1	#1,4-benzothiazine_2
