	explIntensity	headGroups	chains	uncommonSmallChainLength	strangeDifference	phosphocholin	numberOfAlkylChains	dbs	numberOfUnexplainedIntensivePeaks	numerOfWaterLosses	numberOfcommonSteroidFragments	numberOfcommonSteroidLosses	contraScore	contraIntensity	specified	fragmentMalspec	logInt	chainMalspec	nonDecompInt	nonDecomp	ratioFrag	chainScore	Beta
PC	0.284502306855038	0.0	0.2840228307590516	-0.17481043846230387	0.0	0.0	-0.15255005093155558	-0.1797856999841253	-0.015880198962836614	0.0	-0.8415967621533857	-0.33203451273981527	-1.2106993089975153	0.0	0.0	0.0	0.07265433294635028	0.09623934476071924	0.0	0.0	0.0	0.0	-0.580278762349275
TG	0.0	0.0	0.0	-0.7052265489868471	-0.8538985791485778	0.0	0.0	-0.5528609263593633	0.0	-1.6990538777452	-0.1579742025557089	-0.04590405359829868	0.0	-0.4895263952659825	0.0	0.0	0.07571536739619894	0.0	0.0	-1.051015305974454	0.0	0.22886731770985547	0.15803253266246167
LPC	0.0	0.10645938026571693	0.23534515697262165	-0.6068789222403091	0.0	0.0	0.0	-0.9916372241733087	0.0	0.0	-0.19460945983118552	-0.2719957916222772	0.0	0.0	0.0	0.15460447752584183	0.0	0.0	0.0	0.0	0.0	0.0	-0.2877305580171222
DG	0.0	0.0	0.0	-0.3085581559211089	0.0	0.0	0.0	-0.4515872412053937	0.0	-1.0252447966565787	-0.477994186463691	-0.26462520850513044	-0.2658393943210567	0.0	0.0	0.0	0.08703861843533985	0.0	0.0	0.0	0.0	0.556816521072126	-0.13565854883335393
PE	0.0	0.0	0.2237933011814987	-0.25405887699340657	0.0	0.0	0.0	-0.5709118000625456	-0.010685378585971041	-0.32295222002031554	-0.8317595294461062	-0.5199989253855629	0.0	0.0	0.0	0.0	0.1932014325122134	0.017290356593557307	-0.02200259931806791	0.0	0.0	0.0	-1.424815339493026
PS	0.0	0.06477322744007316	0.08293409245310447	-0.3782204189056949	0.0	0.0	0.0	-0.2049972759395267	0.0	-0.7635461840626852	-0.402403543319736	-0.42618881318934804	-0.1880963182783034	-5.149441411217271	0.0	0.09406621529944609	0.021147959744938077	0.0	0.0	0.0	0.32740368987663326	0.48953682248225105	0.39838330682418965
LPE	0.647338110189537	0.0	0.21519927043150816	-0.7448466436059914	0.0	0.0	0.0	-0.10936713414473842	-0.02773781081453801	-0.057028730586483035	-0.33443488708284974	-1.0209803333276473	-1.34729295251602	-1.9617630737390817	0.0	0.0	0.0	0.0	-0.04738714569026808	0.0	4.6501261242064915	0.0	-0.8284896762193125
PG	1.1040242627045558	0.0900091991059837	0.0	-0.8812944719718061	0.0	0.0	0.0	-0.12563887749847044	0.0	-0.17544650692102487	-0.22300762049751854	0.0	-0.3563996939289765	0.0	0.0	0.1307148807718104	0.0	0.0	-0.026082000598378164	0.0	0.45496179632866873	0.0	-0.8399018948440751
PA	0.0	0.0772273193578623	0.0	-0.050227916493511895	0.0	0.0	0.0	-0.00021482452810030254	-0.009736868072638962	0.0	0.0	-0.098004485473453	-0.03296490028244301	-0.33341486319319236	0.0	0.11215253487928187	0.0	0.07642383704970032	-0.009732689245149676	-0.39048496642327374	0.7807086451092157	0.0	-0.933532922938816
Cer	0.38129027917463787	0.537014037291428	0.27970997670336034	-1.3138508319807338	-0.11446132963788798	0.0	0.0	-0.1916787122210903	-0.07259051605825934	0.0	-1.2219646594445128	-1.9144843481526148	-0.12980365193018784	-2.8668091458113354	0.0	0.7798727969425341	0.0	0.04953064885281696	-0.051132044158092	0.0	0.0	1.2381179218718474	-2.0224190540359666
LPS	3.753645799313644	0.0012953003094370507	0.0	-0.12308914173326528	0.0	0.0	0.0	-0.056447258544817205	-0.012537924472226286	-0.14633295892781237	-0.033561183529112346	-0.2353421535052515	0.0	0.0	0.0	0.0018810857911578064	0.09675604251431728	0.0	-0.07186262583484422	-0.0313389426049419	0.013094487261744057	0.7590382732090453	-0.8368460200962821
MG	0.33271093658621054	0.0	0.0	-0.6376945638551901	0.0	0.0	0.0	-0.16268782006919588	0.0	-0.2596527503047116	-1.2159531215150556	-0.10856226038114387	-0.09894770527433021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.017043041803643	-0.9872221106771929
HexCer	0.0	0.0	0.0	-0.12375281012555706	-0.017173367070884543	0.0	0.0	-7.707776318351333e-08	-0.022912730379390567	-0.20009243689282763	-0.13280724481119444	-0.4138508395666876	-1.7193170457201543e-08	-4.6308928213779653e-07	0.0	0.0	0.0	0.2670047333757153	0.0	-1.1817083211900963	0.0	0.0	-1.1966136930480076
PI	0.0	0.11924656762321927	0.0	-0.11091559877641012	0.0	0.0	0.0	-0.08818502977457389	-0.07243628449146476	-2.932557104371631e-05	0.0	0.0	-0.018297677569506194	-0.16876752360554856	0.0	0.173174531316115	0.0	0.054225882975806265	-0.0050448057423460105	-1.0760089438645821	0.3444257874546928	0.0	-0.9731233028520979
