"id","label","synonyms","desc"
"MS:1000070","atmospheric pressure chemical ionization","APCI","Chemical ionization that takes place at atmospheric pressure as opposed to the reduced pressure is normally used for chemical ionization."
"MS:1000071","chemical ionization","CI","The formation of a new ion by the reaction of a neutral species with an ion. The process may involve transfer of an electron, a proton or other charged species between the reactants. When a positive ion results from chemical ionization the term may be used without qualification. When a negative ion results the term negative ion chemical ionization should be used. Note that this term is not synonymous with chemi-ionization."
"MS:1000073","electrospray ionization","ESI","A process in which ionized species in the gas phase are produced from an analyte-containing solution via highly charged fine droplets, by means of spraying the solution from a narrow-bore needle tip at atmospheric pressure in the presence of a high electric field. When a pressurized gas is used to aid in the formation of a stable spray, the term pneumatically assisted electrospray ionization is used. The term ion spray is not recommended."
"MS:1000074","fast atom bombardment ionization","FAB","The ionization of any species by the interaction of a focused beam of neutral atoms having a translational energy of several thousand eV with a sample that is typically dissolved in a solvent matrix. See also secondary ionization."
"MS:1000075","matrix-assisted laser desorption ionization","MALDI","The formation of gas-phase ions from molecules that are present in a solid or solvent matrix that is irradiated with a pulsed laser. See also laser desorption/ionization."
"MS:1000227","multiphoton ionization","MPI","Photoionization of an atom or molecule in which in two or more photons are absorbed."
"MS:1000239","atmospheric pressure matrix-assisted laser desorption ionization","AP MALDI","Matrix-assisted laser desorption ionization in which the sample target is at atmospheric pressure and the ions formed by the pulsed laser are sampled through a small aperture into the mass spectrometer."
"MS:1000240","atmospheric pressure ionization","API","Any ionization process in which ions are formed in the gas phase at atmospheric pressure."
"MS:1000247","desorption ionization","DI","The formation of ions from a solid or liquid material after the rapid vaporization of that sample."
"MS:1000255","flowing afterglow","FA","An ion source immersed in a flow of helium or other inert buffer gas that carries the ions through a meter-long reactor at pressures around 100 Pa."
"MS:1000257","field desorption","FD","The formation of gas-phase ions from a material deposited on a solid surface in the presence of a high electric field. Because this process may encompass ionization by field ionization or other mechanisms, it is not recommended as a synonym for field desorption ionization."
"MS:1000258","field ionization","FI","The removal of electrons from any species by interaction with a high electric field."
"MS:1000259","glow discharge ionization","GD-MS","The formation of ions in the gas phase and from solid samples at the cathode by application of a voltage to a low pressure gas."
"MS:1000271","Negative Ion chemical ionization","NICI","Chemical ionization that results in the formation of negative ions."
"MS:1000272","neutralization reionization mass spectrometry","NRMS","With this technique, m/z selected ions form neutrals by charge transfer to a collision gas or by dissociation. The neutrals are separated from the remaining ions and ionized in collisions with a second gas. This method is used to investigate reaction intermediates and other unstable species."
"MS:1000273","photoionization","PI","The ionization of an atom or molecule by a photon, written M + h? ? M^+ + e. The term photon impact is not recommended."
"MS:1000274","pyrolysis mass spectrometry","PyMS","A mass spectrometry technique in which the sample is heated to the point of decomposition and the gaseous decomposition products are introduced into the ion source."
