18	7	[#6,#1]C([#6,#1])(O[#6])(O[#6])	COC(C)(OC)C	CC1(C)OCCO1
19	8	[#6,#1]C([#6,#1])(N([#6,#1])[#6,#1])(O[#6])	CN1CCOC1(C)C	COC(C)(C=1C=CC=CC1)N(C)C	COC1(C)CC=2C=CC=CC2N1C
25	7	[#6,#1]C([#6,#1])=C([#6,#1])O[#6]	CC=1CCOC1C	COC(C)=C(C)C	COC(=C(C)C)C=1C=CC=CC1
26	2	[#6][OH]	CO
44	6	[a]	CC1=COC=C1	NC1=NC(=C)C(=C)C(N)=N1	BC1=CN=C(F)C=C1
70	4	[OX2]([CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([OX2])[O,S,#7,#15])]	CCOC	O1C2CCC1CC2	CC1(OC1(C)C)C
77	2	[NX3+0,NX4+;!$([N]~[!#6]);!$([N]*~[#7,#8,#15,#16])]	CN	CNC	CN(C)C
87	9	[NX3H0+0,NX4H1+;$([N]([c])([C])[#6]);!$([N]*~[#7,#8,#15,#16])]	CN(C=1C=CC=CC1)C	OC=1C=C2C(CCN2C)=CC1C	CC=1C=C(F)C(=C(O)C1N)N(C)C
94	5	[OX2H][CX4;!$(C([OX2H])[O,S,#7,#15,F,Cl,Br,I])][CX4;!$(C([N])[O,S,#7,#15])][NX3;!$(NC=[O,S,N])]	CNCCO	OC1CCNC1	NN(C)C(C)C(O)C=1C=CC=CC1
119	6	[NX3v3,SX2,OX2;$(**=[#7,#8,#15,#16])][CX4;!$(C([N,S,O])([N,S,O])[!#6])][NX3v3,SX2,OX2;!$(*C=[#7,#8,#15,#16])]	S=PSCSC	O=CN1CCSC1	CC1N(C)C(=O)C=2C=CC=CC2N1C
139	5	[CX3;$([R0][#6]),$([H1R0])](=[OX1])[OX2][#6;!$(C=[O,N,S])]	CC(=O)OC	O=C(OC)C=1C=CC=CC1
140	6	[#6][#6X3R](=[OX1])[#8X2][#6;!$(C=[O,N,S])]	O=C1CCCO1	O=C1C=CC=2C=CC=CC2O1	O=C1C=CCOCCC=CCC=CC=CC=NCCCO1
152	4	[CX3;$([R0][#6]),$([H1R0])](=[OX1])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]	O=CNC	O=C(C)N(C=1C=CC=CC1)C	CC(=O)N
155	5	[CX3;$([R0][#6]),$([H1R0])](=[OX1])[#7X3H0]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])]	O=CN(C)C	CN(C)C(=O)C=1N=C(SC1)C2=CSC=C2	O=C(C)N(C)C=1C=CC=CC1
156	6	[#6R][#6X3R](=[OX1])[#7X3;$([H1][#6;!$(C=[O,N,S])]),$([H0]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]	CN1CCC1=O	O=C1NC(=NC=2N=CC=NC21)N	O=C1COCCCCCCCCCCCCCC=CCCCCCCCCCN1
164	5	[CX3;$([H0][#6]),$([H1])](=[OX1])[#7X3;$([H1]),$([H0][#6;!$(C=[O,N,S])])][$([OX2H]),$([OX1-])]	O=CN(O)C	CC(=O)NO	CC(=O)N(C)O
